Date,Source_currency,Target_currency,Exchange_rate
2022-01-01,GBP,SZL,21.583243
2022-01-01,GBP,THB,44.917865
2022-01-01,GBP,TJS,15.293
2022-01-01,GBP,TMT,4.749556
2022-01-01,GBP,TND,3.891394
2022-01-01,GBP,TOP,3.07788
2022-01-01,GBP,TRY,18.025451
2022-01-01,GBP,TTD,9.192969
2022-01-01,GBP,TWD,37.505399
2022-01-01,GBP,TZS,3120.364316
2022-01-01,GBP,UAH,36.924796
2022-01-01,GBP,UGX,4797.886096
2022-01-01,GBP,UYU,60.385508
2022-01-01,GBP,UZS,14641.083273
2022-01-01,GBP,VEF,289344361798.79834
2022-01-01,GBP,VND,30926.24287
2022-01-01,GBP,VUV,153.247826
2022-01-01,GBP,WST,3.518421
2022-01-01,GBP,XAF,784.286323
2022-01-01,GBP,XAG,0.058123
2022-01-01,GBP,XAU,0.00074
2022-01-01,GBP,XCD,3.656956
2022-01-01,GBP,XDR,0.967031
2022-01-01,GBP,XOF,784.155289
2022-01-01,GBP,XPF,143.231418
2022-01-01,GBP,YER,338.626276
2022-01-01,GBP,ZAR,21.584156
2022-01-01,GBP,ZMK,12179.978492
2022-01-01,GBP,ZMW,22.548116
2022-01-01,GBP,ZWL,435.713743
2022-01-02,GBP,USD,1.352173
2022-01-02,GBP,EUR,1.188946
2022-01-02,GBP,AED,4.966505
2022-01-02,GBP,AFN,140.287944
2022-01-02,GBP,ALL,144.20971
2022-01-02,GBP,AMD,649.359973
2022-01-02,GBP,ANG,2.437415
2022-01-02,GBP,AOA,744.493618
2022-01-02,GBP,ARS,138.820442
2022-01-02,GBP,AUD,1.860832
2022-01-02,GBP,AWG,2.433912
2022-01-02,GBP,AZN,2.296865
2022-01-02,GBP,BAM,2.336733
2022-01-02,GBP,BBD,2.730726
2022-01-02,GBP,BDT,115.931861
2022-01-02,GBP,BGN,2.323452
2022-01-02,GBP,BHD,0.509711
2022-01-02,GBP,BIF,2709.078961
2022-01-02,GBP,BMD,1.352173
2022-01-02,GBP,BND,1.825614
2022-01-02,GBP,BOB,9.325369
2022-01-02,GBP,BRL,7.533361
2022-01-02,GBP,BSD,1.35246
2022-01-02,GBP,BTC,2.8559474e-05
2022-01-02,GBP,BTN,100.563045
2022-01-02,GBP,BWP,15.901798
2022-01-02,GBP,BYN,3.458211
2022-01-02,GBP,BYR,26502.594275
2022-01-02,GBP,BZD,2.726186
2022-01-02,GBP,CAD,1.711358
2022-01-02,GBP,CDF,2707.704831
2022-01-02,GBP,CHF,1.23329
2022-01-02,GBP,CLF,0.041752
2022-01-02,GBP,CLP,1152.051366
2022-01-02,GBP,CNY,8.594282
2022-01-02,GBP,COP,5497.030183
2022-01-02,GBP,CRC,868.214751
2022-01-02,GBP,CUC,1.352173
2022-01-02,GBP,CUP,35.832589
2022-01-02,GBP,CVE,131.498626
2022-01-02,GBP,CZK,29.587986
2022-01-02,GBP,DJF,240.308914
2022-01-02,GBP,DKK,8.842063
2022-01-02,GBP,DOP,77.580946
2022-01-02,GBP,DZD,187.689248
2022-01-02,GBP,EGP,21.23709
2022-01-02,GBP,ERN,20.282703
2022-01-02,GBP,ETB,66.45953
2022-01-02,GBP,FJD,2.872695
2022-01-02,GBP,FKP,1.020051
2022-01-02,GBP,GEL,4.184957
2022-01-02,GBP,GGP,1.020051
2022-01-02,GBP,GHS,8.316003
2022-01-02,GBP,GIP,1.020051
2022-01-02,GBP,GMD,71.327961
2022-01-02,GBP,GNF,12609.014503
2022-01-02,GBP,GTQ,10.437478
2022-01-02,GBP,GYD,282.82183
2022-01-02,GBP,HKD,10.541745
2022-01-02,GBP,HNL,32.991907
2022-01-02,GBP,HRK,8.937429
2022-01-02,GBP,HTG,135.611586
2022-01-02,GBP,HUF,439.023609
2022-01-02,GBP,IDR,19257.650391
2022-01-02,GBP,ILS,4.205921
2022-01-02,GBP,IMP,1.020051
2022-01-02,GBP,INR,100.7559
2022-01-02,GBP,IQD,1974.172839
2022-01-02,GBP,IRR,57163.12125
2022-01-02,GBP,ISK,175.499056
2022-01-02,GBP,JEP,1.020051
2022-01-02,GBP,JMD,208.229843
2022-01-02,GBP,JOD,0.958961
2022-01-02,GBP,JPY,155.689892
2022-01-02,GBP,KES,152.998641
2022-01-02,GBP,KGS,114.66703
2022-01-02,GBP,KHR,5503.344486
2022-01-02,GBP,KMF,588.026292
2022-01-02,GBP,KPW,1216.955755
2022-01-02,GBP,KRW,1607.571887
2022-01-02,GBP,KWD,0.40906
2022-01-02,GBP,KYD,1.12701
2022-01-02,GBP,KZT,588.320064
2022-01-02,GBP,LAK,15124.057118
2022-01-02,GBP,LBP,2045.838126
2022-01-02,GBP,LKR,274.38519
2022-01-02,GBP,LRD,196.234138
2022-01-02,GBP,LSL,21.567103
2022-01-02,GBP,LTL,3.992616
2022-01-02,GBP,LVL,0.817916
2022-01-02,GBP,LYD,6.223656
2022-01-02,GBP,MAD,12.548395
2022-01-02,GBP,MDL,24.067454
2022-01-02,GBP,MGA,5361.367371
2022-01-02,GBP,MKD,73.631596
2022-01-02,GBP,MMK,2404.716569
2022-01-02,GBP,MNT,3865.031058
2022-01-02,GBP,MOP,10.863672
2022-01-02,GBP,MRO,482.725592
2022-01-02,GBP,MUR,58.950945
2022-01-02,GBP,MVR,20.826128
2022-01-02,GBP,MWK,1100.66878
2022-01-02,GBP,MXN,27.706843
2022-01-02,GBP,MYR,5.647348
2022-01-02,GBP,MZN,86.308628
2022-01-02,GBP,NAD,21.567411
2022-01-02,GBP,NGN,557.02819
2022-01-02,GBP,NIO,47.863881
2022-01-02,GBP,NOK,11.894249
2022-01-02,GBP,NPR,160.9004
2022-01-02,GBP,NZD,1.976911
2022-01-02,GBP,OMR,0.520581
2022-01-02,GBP,PAB,1.35246
2022-01-02,GBP,PEN,5.394498
2022-01-02,GBP,PGK,4.766356
2022-01-02,GBP,PHP,68.961066
2022-01-02,GBP,PKR,241.024432
2022-01-02,GBP,PLN,5.457713
2022-01-02,GBP,PYG,9305.016985
2022-01-02,GBP,QAR,4.923257
2022-01-02,GBP,RON,5.88386
2022-01-02,GBP,RSD,139.794727
2022-01-02,GBP,RUB,101.433296
2022-01-02,GBP,RWF,1372.455775
2022-01-02,GBP,SAR,5.078087
2022-01-02,GBP,SBD,10.944385
2022-01-02,GBP,SCR,18.398831
2022-01-02,GBP,SDG,591.574164
2022-01-02,GBP,SEK,12.232259
2022-01-02,GBP,SGD,1.823284
2022-01-02,GBP,SHP,1.862487
2022-01-02,GBP,SLL,15218.708821
2022-01-02,GBP,SOS,789.669103
2022-01-02,GBP,SRD,28.136037
2022-01-02,GBP,STD,27987.254743
2022-01-02,GBP,SVC,11.834024
2022-01-02,GBP,SYP,3397.325349
2022-01-02,GBP,SZL,21.567712
2022-01-02,GBP,THB,44.959906
2022-01-02,GBP,TJS,15.281961
2022-01-02,GBP,TMT,4.746128
2022-01-02,GBP,TND,3.888571
2022-01-02,GBP,TOP,3.075651
2022-01-02,GBP,TRY,18.190765
2022-01-02,GBP,TTD,9.186333
2022-01-02,GBP,TWD,37.478321
2022-01-02,GBP,TZS,3118.111712
2022-01-02,GBP,UAH,36.898141
2022-01-02,GBP,UGX,4794.422619
2022-01-02,GBP,UYU,60.341917
2022-01-02,GBP,UZS,14630.513152
2022-01-02,GBP,VEF,289135491139.8889
2022-01-02,GBP,VND,30903.917967
2022-01-02,GBP,VUV,153.1372
2022-01-02,GBP,WST,3.515881
2022-01-02,GBP,XAF,783.720166
2022-01-02,GBP,XAG,0.058053
2022-01-02,GBP,XAU,0.000739
2022-01-02,GBP,XCD,3.654316
2022-01-02,GBP,XDR,0.966333
2022-01-02,GBP,XOF,783.583685
2022-01-02,GBP,XPF,143.127704
2022-01-02,GBP,YER,338.380775
2022-01-02,GBP,ZAR,21.587304
2022-01-02,GBP,ZMK,12171.184793
2022-01-02,GBP,ZMW,22.531839
2022-01-02,GBP,ZWL,435.399211
2022-01-03,GBP,USD,1.348209
2022-01-03,GBP,EUR,1.193124
2022-01-03,GBP,AED,4.952109
2022-01-03,GBP,AFN,139.877043
2022-01-03,GBP,ALL,143.246999
2022-01-03,GBP,AMD,649.283771
2022-01-03,GBP,ANG,2.430784
2022-01-03,GBP,AOA,747.18255
2022-01-03,GBP,ARS,138.809535
2022-01-03,GBP,AUD,1.873339
2022-01-03,GBP,AWG,2.42745
2022-01-03,GBP,AZN,2.294007
2022-01-03,GBP,BAM,2.322924
2022-01-03,GBP,BBD,2.7232
2022-01-03,GBP,BDT,115.711843
2022-01-03,GBP,BGN,2.334218
2022-01-03,GBP,BHD,0.508265
2022-01-03,GBP,BIF,2703.158179
2022-01-03,GBP,BMD,1.348209
2022-01-03,GBP,BND,1.820772
2022-01-03,GBP,BOB,9.313017
2022-01-03,GBP,BRL,7.661061
2022-01-03,GBP,BSD,1.348773
2022-01-03,GBP,BTC,2.9037234e-05
2022-01-03,GBP,BTN,100.240848
2022-01-03,GBP,BWP,15.858769
2022-01-03,GBP,BYN,3.448582
2022-01-03,GBP,BYR,26424.88793
2022-01-03,GBP,BZD,2.718627
2022-01-03,GBP,CAD,1.719134
2022-01-03,GBP,CDF,2701.134676
2022-01-03,GBP,CHF,1.238371
2022-01-03,GBP,CLF,0.041619
2022-01-03,GBP,CLP,1148.395392
2022-01-03,GBP,CNY,8.569345
2022-01-03,GBP,COP,5480.238633
2022-01-03,GBP,CRC,865.815587
2022-01-03,GBP,CUC,1.348209
2022-01-03,GBP,CUP,35.727527
2022-01-03,GBP,CVE,131.955945
2022-01-03,GBP,CZK,29.606787
2022-01-03,GBP,DJF,239.60401
2022-01-03,GBP,DKK,8.873925
2022-01-03,GBP,DOP,77.28604
2022-01-03,GBP,DZD,187.598792
2022-01-03,GBP,EGP,21.22566
2022-01-03,GBP,ERN,20.223234
2022-01-03,GBP,ETB,66.398802
2022-01-03,GBP,FJD,2.869257
2022-01-03,GBP,FKP,1.01706
2022-01-03,GBP,GEL,4.166307
2022-01-03,GBP,GGP,1.01706
2022-01-03,GBP,GHS,8.290763
