Date,Source_currency,Target_currency,Exchange_rate
2022-01-01,EUR,XAU,0.000622
2022-01-01,EUR,XCD,3.073193
2022-01-01,EUR,XDR,0.812663
2022-01-01,EUR,XOF,658.979869
2022-01-01,EUR,XPF,120.367257
2022-01-01,EUR,YER,284.571056
2022-01-01,EUR,ZAR,18.138658
2022-01-01,EUR,ZMK,10235.677475
2022-01-01,EUR,ZMW,18.94874
2022-01-01,EUR,ZWL,366.160363
2022-01-02,EUR,GBP,0.841081
2022-01-02,EUR,USD,1.137288
2022-01-02,EUR,AED,4.177235
2022-01-02,EUR,AFN,117.993578
2022-01-02,EUR,ALL,121.292102
2022-01-02,EUR,AMD,546.164583
2022-01-02,EUR,ANG,2.050064
2022-01-02,EUR,AOA,626.17972
2022-01-02,EUR,ARS,116.759289
2022-01-02,EUR,AUD,1.565111
2022-01-02,EUR,AWG,2.047118
2022-01-02,EUR,AZN,1.93185
2022-01-02,EUR,BAM,1.965383
2022-01-02,EUR,BBD,2.296763
2022-01-02,EUR,BDT,97.508129
2022-01-02,EUR,BGN,1.954212
2022-01-02,EUR,BHD,0.428708
2022-01-02,EUR,BIF,2278.555872
2022-01-02,EUR,BMD,1.137288
2022-01-02,EUR,BND,1.53549
2022-01-02,EUR,BOB,7.843395
2022-01-02,EUR,BRL,6.33617
2022-01-02,EUR,BSD,1.137529
2022-01-02,EUR,BTC,2.4020842e-05
2022-01-02,EUR,BTN,84.581705
2022-01-02,EUR,BWP,13.374707
2022-01-02,EUR,BYN,2.908637
2022-01-02,EUR,BYR,22290.838579
2022-01-02,EUR,BZD,2.292945
2022-01-02,EUR,CAD,1.439391
2022-01-02,EUR,CDF,2277.400117
2022-01-02,EUR,CHF,1.037297
2022-01-02,EUR,CLF,0.035116
2022-01-02,EUR,CLP,968.968953
2022-01-02,EUR,CNY,7.228491
2022-01-02,EUR,COP,4623.449735
2022-01-02,EUR,CRC,730.239261
2022-01-02,EUR,CUC,1.137288
2022-01-02,EUR,CUP,30.138124
2022-01-02,EUR,CVE,110.601045
2022-01-02,EUR,CZK,24.885904
2022-01-02,EUR,DJF,202.119353
2022-01-02,EUR,DKK,7.436895
2022-01-02,EUR,DOP,65.25189
2022-01-02,EUR,DZD,157.861932
2022-01-02,EUR,EGP,17.862121
2022-01-02,EUR,ERN,17.059404
2022-01-02,EUR,ETB,55.897873
2022-01-02,EUR,FJD,2.41617
2022-01-02,EUR,FKP,0.857946
2022-01-02,EUR,GEL,3.519889
2022-01-02,EUR,GGP,0.857946
2022-01-02,EUR,GHS,6.994436
2022-01-02,EUR,GIP,0.857946
2022-01-02,EUR,GMD,59.99262
2022-01-02,EUR,GNF,10605.207325
2022-01-02,EUR,GTQ,8.778768
2022-01-02,EUR,GYD,237.876175
2022-01-02,EUR,HKD,8.866465
2022-01-02,EUR,HNL,27.748879
2022-01-02,EUR,HRK,7.517105
2022-01-02,EUR,HTG,114.06038
2022-01-02,EUR,HUF,369.254583
2022-01-02,EUR,IDR,16197.251176
2022-01-02,EUR,ILS,3.537522
2022-01-02,EUR,IMP,0.857946
2022-01-02,EUR,INR,84.743911
2022-01-02,EUR,IQD,1660.440017
2022-01-02,EUR,IRR,48078.836933
2022-01-02,EUR,ISK,147.608988
2022-01-02,EUR,JEP,0.857946
2022-01-02,EUR,JMD,175.138243
2022-01-02,EUR,JOD,0.806564
2022-01-02,EUR,JPY,130.947869
2022-01-02,EUR,KES,128.684308
2022-01-02,EUR,KGS,96.444304
2022-01-02,EUR,KHR,4628.760578
2022-01-02,EUR,KMF,494.577966
2022-01-02,EUR,KPW,1023.558826
2022-01-02,EUR,KRW,1352.098782
2022-01-02,EUR,KWD,0.344053
2022-01-02,EUR,KYD,0.947907
2022-01-02,EUR,KZT,494.825052
2022-01-02,EUR,LAK,12720.562839
2022-01-02,EUR,LBP,1720.716355
2022-01-02,EUR,LKR,230.780274
2022-01-02,EUR,LRD,165.048879
2022-01-02,EUR,LSL,18.139689
2022-01-02,EUR,LTL,3.358115
2022-01-02,EUR,LVL,0.687934
2022-01-02,EUR,LYD,5.234601
2022-01-02,EUR,MAD,10.554221
2022-01-02,EUR,MDL,20.242688
2022-01-02,EUR,MGA,4509.34627
2022-01-02,EUR,MKD,61.930164
2022-01-02,EUR,MMK,2022.562331
2022-01-02,EUR,MNT,3250.805658
2022-01-02,EUR,MOP,9.137232
2022-01-02,EUR,MRO,406.011507
2022-01-02,EUR,MUR,49.582542
2022-01-02,EUR,MVR,17.516469
2022-01-02,EUR,MWK,925.752017
2022-01-02,EUR,MXN,23.30371
2022-01-02,EUR,MYR,4.749879
2022-01-02,EUR,MZN,72.59258
2022-01-02,EUR,NAD,18.139948
2022-01-02,EUR,NGN,468.506039
2022-01-02,EUR,NIO,40.257419
2022-01-02,EUR,NOK,10.004032
2022-01-02,EUR,NPR,135.33033
2022-01-02,EUR,NZD,1.662743
2022-01-02,EUR,OMR,0.437851
2022-01-02,EUR,PAB,1.137529
2022-01-02,EUR,PEN,4.537212
2022-01-02,EUR,PGK,4.008894
2022-01-02,EUR,PHP,58.001869
2022-01-02,EUR,PKR,202.721162
2022-01-02,EUR,PLN,4.590381
2022-01-02,EUR,PYG,7826.276531
2022-01-02,EUR,QAR,4.14086
2022-01-02,EUR,RON,4.948805
